fund,date,return
Beacon Advisors,2023-04-01,0%
Beacon Advisors,2023-05-01,n/a
Beacon Advisors,2023-07-01,0%
Beacon Advisors,2023-08-01,0%
Beacon Advisors,2023-09-01,0%
Beacon Advisors,2023-10-01,0%
Beacon Advisors,2023-11-01,0%
Beacon Advisors,2023-12-01,0%
Beacon Advisors,2024-02-01,0%
Beacon Advisors,2024-03-01,0%
Beacon Advisors,2024-04-01,n/a
Beacon Advisors,2024-05-01,0%
Beacon Advisors,2024-06-01,0%
Beacon Advisors,2024-07-01,0%
Beacon Advisors,2024-09-01,0%
Beacon Advisors,2024-10-01,0%
Beacon Advisors,2024-11-01,0%
Beacon Advisors,2024-12-01,0%
Tideline Credit Opportunities,2024-11-01,0.32%
Tideline Credit Opportunities,2024-12-01,0.91%
Halcyon Associates,2024-07-01,-0.5%
Halcyon Associates,2024-08-01,-0.38%
Halcyon Associates,2024-09-01,0.89%
Halcyon Associates,2024-11-01,-1.02%
Halcyon Associates,2024-12-01,n/a
Westfield Holdings,2023-01-01,3.29%
Westfield Holdings,2023-02-01,0.47%
Westfield Holdings,2023-03-01,0.75%
Westfield Holdings,2023-05-01,4.04%
Westfield Holdings,2023-06-01,n/a
Westfield Holdings,2023-07-01,-1.78%
Westfield Holdings,2023-08-01,5.71%
Westfield Holdings,2023-09-01,-3.9%
Westfield Holdings,2023-10-01,1.38%
Westfield Holdings,2023-12-01,10.42%
Westfield Holdings,2024-01-01,-3.64%
Westfield Holdings,2024-02-01,-11.61%
Westfield Holdings,2024-03-01,2.91%
Westfield Holdings,2024-04-01,-0.34%
Westfield Holdings,2024-05-01,n/a
Westfield Holdings,2024-07-01,-6.94%
Westfield Holdings,2024-08-01,0.9%
Westfield Holdings,2024-09-01,8.33%
Westfield Holdings,2024-10-01,11.4%
Westfield Holdings,2024-11-01,2.07%
Westfield Holdings,2024-12-01,2.6%
Westfield Holdings,2015-01-01,-2.2%
Westfield Holdings,2015-02-01,1.62%
Westfield Holdings,2015-03-01,1.31%
Westfield Holdings,2015-05-01,1.04%
Westfield Holdings,2015-06-01,n/a
Westfield Holdings,2015-07-01,1.78%
Westfield Holdings,2015-08-01,2.57%
Westfield Holdings,2015-09-01,5.08%
Westfield Holdings,2015-10-01,-0.16%
Westfield Holdings,2015-12-01,1.6%
Westfield Holdings,2016-01-01,0.9%
Westfield Holdings,2016-02-01,1.93%
Westfield Holdings,2016-03-01,-2.48%
Westfield Holdings,2016-04-01,0.77%
Westfield Holdings,2016-05-01,n/a
Westfield Holdings,2016-07-01,-0.09%
Westfield Holdings,2016-08-01,-0.64%
Westfield Holdings,2016-09-01,-1.23%
Westfield Holdings,2016-10-01,2.65%
Westfield Holdings,2016-11-01,1.65%
Westfield Holdings,2016-12-01,4.71%
Westfield Holdings,2017-02-01,3.81%
Westfield Holdings,2017-03-01,-0.84%
Westfield Holdings,2017-04-01,n/a
Westfield Holdings,2017-05-01,4.6%
Westfield Holdings,2017-06-01,2.87%
Westfield Holdings,2017-07-01,2.02%
Westfield Holdings,2017-09-01,2.97%
Westfield Holdings,2017-10-01,-0.29%
Westfield Holdings,2017-11-01,1.09%
Westfield Holdings,2017-12-01,2.83%
Westfield Holdings,2018-01-01,-0.72%
Westfield Holdings,2018-02-01,-2.58%
Westfield Holdings,2018-04-01,3.64%
Westfield Holdings,2018-05-01,3.48%
Westfield Holdings,2018-06-01,-5.19%
Westfield Holdings,2018-07-01,4.98%
Westfield Holdings,2018-08-01,-0.89%
Westfield Holdings,2018-09-01,0.25%
Westfield Holdings,2018-11-01,4.2%
Westfield Holdings,2018-12-01,0.97%
Westfield Holdings,2019-01-01,2.26%
Westfield Holdings,2019-02-01,n/a
Westfield Holdings,2019-03-01,0.58%
Westfield Holdings,2019-04-01,2.91%
Westfield Holdings,2019-06-01,3.38%
Westfield Holdings,2019-07-01,2.48%
Westfield Holdings,2019-08-01,-0.97%
Westfield Holdings,2019-09-01,7.62%
Westfield Holdings,2019-10-01,-1.69%
Westfield Holdings,2019-11-01,0.46%
Westfield Holdings,2020-01-01,n/a
Westfield Holdings,2020-02-01,1.04%
Westfield Holdings,2020-03-01,4.71%
Westfield Holdings,2020-04-01,-0.11%
Westfield Holdings,2020-05-01,3.49%
Westfield Holdings,2020-06-01,3.1%
Westfield Holdings,2020-08-01,2.26%
Westfield Holdings,2020-09-01,0.16%
Westfield Holdings,2020-10-01,1.88%
Westfield Holdings,2020-11-01,1.05%
Westfield Holdings,2020-12-01,n/a
Westfield Holdings,2021-01-01,4.54%
Westfield Holdings,2021-03-01,-1.03%
Westfield Holdings,2021-04-01,-0.43%
Westfield Holdings,2021-05-01,2.1%
Westfield Holdings,2021-06-01,3.12%
Westfield Holdings,2021-07-01,5.25%
Westfield Holdings,2021-08-01,0.54%
Westfield Holdings,2021-10-01,0.05%
Westfield Holdings,2021-11-01,n/a
Westfield Holdings,2021-12-01,1.69%
Westfield Holdings,2022-01-01,-3.45%
Westfield Holdings,2022-02-01,-2.54%
Westfield Holdings,2022-03-01,4.35%
Westfield Holdings,2022-05-01,1.05%
Westfield Holdings,2022-06-01,1.36%
Westfield Holdings,2022-07-01,-3.16%
Westfield Holdings,2022-08-01,-0.26%
Westfield Holdings,2022-09-01,0.72%
Westfield Holdings,2022-10-01,n/a
Westfield Holdings,2022-12-01,1.49%
Westfield Holdings,2023-01-01,1.31%
Westfield Holdings,2023-02-01,-1.96%
Westfield Holdings,2023-03-01,0.93%
Westfield Holdings,2023-04-01,-0.75%
Westfield Holdings,2023-05-01,3.85%
Westfield Holdings,2023-07-01,-0.92%
Westfield Holdings,2023-08-01,-0.71%
Westfield Holdings,2023-09-01,n/a
Westfield Holdings,2023-10-01,0.7%
Westfield Holdings,2023-11-01,1.48%
Westfield Holdings,2023-12-01,1.3%
Westfield Holdings,2024-02-01,-2.69%
Westfield Holdings,2024-03-01,-3.24%
Westfield Holdings,2024-04-01,-0.86%
Westfield Holdings,2024-05-01,-1.58%
Westfield Holdings,2024-06-01,4.05%
Westfield Holdings,2024-07-01,-0.49%
Westfield Holdings,2024-09-01,1.17%
Westfield Holdings,2024-10-01,-0.63%
Westfield Holdings,2024-11-01,0.58%
Westfield Holdings,2024-12-01,-1.5%
Tideline Group,2024-01-01,0.11%
Tideline Group,2024-02-01,0.24%
Tideline Group,2024-03-01,0.13%
Tideline Group,2024-05-01,0.37%
Tideline Group,2024-06-01,n/a
Tideline Group,2024-07-01,-0.01%
Tideline Group,2024-08-01,0.04%
Tideline Group,2024-09-01,0.04%
Tideline Group,2024-10-01,-0.34%
Tideline Group,2024-12-01,0.23%
Fjord Management,2023-07-01,2.2%
Fjord Management,2023-08-01,-2.32%
Fjord Management,2023-09-01,2.57%
Fjord Management,2023-11-01,-0.08%
Fjord Management,2023-12-01,n/a
Fjord Management,2024-01-01,1.08%
Fjord Management,2024-02-01,-3.73%
Fjord Management,2024-03-01,-2.02%
Fjord Management,2024-04-01,2.87%
Fjord Management,2024-06-01,0.12%
Fjord Management,2024-07-01,1.56%
Fjord Management,2024-08-01,0.14%
Fjord Management,2024-09-01,1.4%
Fjord Management,2024-10-01,0.37%
Fjord Management,2024-11-01,n/a
Zürich Macro Partners,2015-01-01,2.35%
Zürich Macro Partners,2015-02-01,2.87%
Zürich Macro Partners,2015-03-01,3.5%
Zürich Macro Partners,2015-05-01,2.85%
Zürich Macro Partners,2015-06-01,n/a
Zürich Macro Partners,2015-07-01,5.36%
Zürich Macro Partners,2015-08-01,0.66%
Zürich Macro Partners,2015-09-01,1.93%
Zürich Macro Partners,2015-10-01,2%
Zürich Macro Partners,2015-12-01,1.15%
Zürich Macro Partners,2016-01-01,1.68%
Zürich Macro Partners,2016-02-01,2.02%
Zürich Macro Partners,2016-03-01,0.65%
Zürich Macro Partners,2016-04-01,3.63%
Zürich Macro Partners,2016-05-01,n/a
Zürich Macro Partners,2016-07-01,2.64%
Zürich Macro Partners,2016-08-01,1.33%
Zürich Macro Partners,2016-09-01,4.54%
Zürich Macro Partners,2016-10-01,2.12%
Zürich Macro Partners,2016-11-01,-2.53%
Zürich Macro Partners,2016-12-01,2.96%
Zürich Macro Partners,2017-02-01,0.55%
Zürich Macro Partners,2017-03-01,0.72%
Zürich Macro Partners,2017-04-01,n/a
Zürich Macro Partners,2017-05-01,1.58%
Zürich Macro Partners,2017-06-01,2.14%
Zürich Macro Partners,2017-07-01,0.1%
Zürich Macro Partners,2017-09-01,-0.38%
Zürich Macro Partners,2017-10-01,-0.56%
Zürich Macro Partners,2017-11-01,6.69%
Zürich Macro Partners,2017-12-01,5.53%
Zürich Macro Partners,2018-01-01,1.23%
Zürich Macro Partners,2018-02-01,-2.35%
Zürich Macro Partners,2018-04-01,1.88%
Zürich Macro Partners,2018-05-01,-1.26%
Zürich Macro Partners,2018-06-01,1.51%
Zürich Macro Partners,2018-07-01,3.2%
Zürich Macro Partners,2018-08-01,-0%
Zürich Macro Partners,2018-09-01,4.03%
Zürich Macro Partners,2018-11-01,3.2%
Zürich Macro Partners,2018-12-01,2.02%
Zürich Macro Partners,2019-01-01,0.86%
Zürich Macro Partners,2019-02-01,n/a
Zürich Macro Partners,2019-03-01,0.29%
Zürich Macro Partners,2019-04-01,1.06%
Zürich Macro Partners,2019-06-01,-0.21%
Zürich Macro Partners,2019-07-01,0.68%
Zürich Macro Partners,2019-08-01,1.85%
Zürich Macro Partners,2019-09-01,4.3%
Zürich Macro Partners,2019-10-01,0.82%
Zürich Macro Partners,2019-11-01,-1.17%
Zürich Macro Partners,2020-01-01,n/a
Zürich Macro Partners,2020-02-01,1.48%
Zürich Macro Partners,2020-03-01,3.19%
Zürich Macro Partners,2020-04-01,1.18%
Zürich Macro Partners,2020-05-01,1.31%
Zürich Macro Partners,2020-06-01,-0.07%
Zürich Macro Partners,2020-08-01,0.8%
Zürich Macro Partners,2020-09-01,3.37%
Zürich Macro Partners,2020-10-01,1.04%
Zürich Macro Partners,2020-11-01,0.2%
Zürich Macro Partners,2020-12-01,n/a
Zürich Macro Partners,2021-01-01,3.22%
Zürich Macro Partners,2021-03-01,4.27%
Zürich Macro Partners,2021-04-01,5.51%
Zürich Macro Partners,2021-05-01,3.39%
Zürich Macro Partners,2021-06-01,1.48%
Zürich Macro Partners,2021-07-01,4.14%
Zürich Macro Partners,2021-08-01,-0.95%
Zürich Macro Partners,2021-10-01,1.42%
Zürich Macro Partners,2021-11-01,n/a
Zürich Macro Partners,2021-12-01,4.05%
Zürich Macro Partners,2022-01-01,-2.15%
Zürich Macro Partners,2022-02-01,2.93%
Zürich Macro Partners,2022-03-01,3.02%
Zürich Macro Partners,2022-05-01,-3.36%
Zürich Macro Partners,2022-06-01,3.34%
Zürich Macro Partners,2022-07-01,2.22%
Zürich Macro Partners,2022-08-01,4.53%
Zürich Macro Partners,2022-09-01,2.89%
Zürich Macro Partners,2022-10-01,n/a
Zürich Macro Partners,2022-12-01,1.94%
Zürich Macro Partners,2023-01-01,3.77%
Zürich Macro Partners,2023-02-01,2.76%
Zürich Macro Partners,2023-03-01,3.01%
Zürich Macro Partners,2023-04-01,-0.68%
Zürich Macro Partners,2023-05-01,-1.44%
Zürich Macro Partners,2023-07-01,0.91%
Zürich Macro Partners,2023-08-01,4.58%
Zürich Macro Partners,2023-09-01,n/a
Zürich Macro Partners,2023-10-01,0.62%
Zürich Macro Partners,2023-11-01,1.56%
Zürich Macro Partners,2023-12-01,1.12%
Zürich Macro Partners,2024-02-01,-0.08%
Zürich Macro Partners,2024-03-01,0.67%
Zürich Macro Partners,2024-04-01,2.37%
Zürich Macro Partners,2024-05-01,-1.91%
Zürich Macro Partners,2024-06-01,1.31%
Zürich Macro Partners,2024-07-01,-0.2%
Zürich Macro Partners,2024-09-01,0.93%
Zürich Macro Partners,2024-10-01,-1.4%
Zürich Macro Partners,2024-11-01,4.75%
Zürich Macro Partners,2024-12-01,-1.02%
Crédit Alpha,2020-01-01,0.35%
Crédit Alpha,2020-02-01,0.11%
Crédit Alpha,2020-03-01,-0.16%
Crédit Alpha,2020-05-01,-0.22%
Crédit Alpha,2020-06-01,n/a
Crédit Alpha,2020-07-01,-0.16%
Crédit Alpha,2020-08-01,0.31%
Crédit Alpha,2020-09-01,-0.04%
Crédit Alpha,2020-10-01,0.13%
Crédit Alpha,2020-12-01,-0.27%
Crédit Alpha,2021-01-01,-0.27%
Crédit Alpha,2021-02-01,0.17%
Crédit Alpha,2021-03-01,-0.36%
Crédit Alpha,2021-04-01,-0.24%
Crédit Alpha,2021-05-01,n/a
Crédit Alpha,2021-07-01,0.45%
Crédit Alpha,2021-08-01,-0.47%
Crédit Alpha,2021-09-01,-0%
Crédit Alpha,2021-10-01,0.15%
Crédit Alpha,2021-11-01,-0.02%
Crédit Alpha,2021-12-01,0.01%
Crédit Alpha,2022-02-01,0.13%
Crédit Alpha,2022-03-01,-0.01%
Crédit Alpha,2022-04-01,n/a
Crédit Alpha,2022-05-01,-0.16%
Crédit Alpha,2022-06-01,0.16%
Crédit Alpha,2022-07-01,-0.06%
Crédit Alpha,2022-09-01,-0.14%
Crédit Alpha,2022-10-01,-0.15%
Crédit Alpha,2022-11-01,-0.28%
Crédit Alpha,2022-12-01,-0.28%
Crédit Alpha,2023-01-01,-0.16%
Crédit Alpha,2023-02-01,-0.41%
Crédit Alpha,2023-04-01,-0.29%
Crédit Alpha,2023-05-01,0.49%
Crédit Alpha,2023-06-01,-0.08%
Crédit Alpha,2023-07-01,-0.09%
Crédit Alpha,2023-08-01,0.12%
Crédit Alpha,2023-09-01,-0.1%
Crédit Alpha,2023-11-01,0.33%
Crédit Alpha,2023-12-01,-0.22%
Crédit Alpha,2024-01-01,-0.07%
Crédit Alpha,2024-02-01,n/a
Crédit Alpha,2024-03-01,0.03%
Crédit Alpha,2024-04-01,0.45%
Crédit Alpha,2024-06-01,-0.21%
Crédit Alpha,2024-07-01,0.61%
Crédit Alpha,2024-08-01,-0.1%
Crédit Alpha,2024-09-01,-0.31%
Crédit Alpha,2024-10-01,-0.09%
Crédit Alpha,2024-11-01,0.37%
São Paulo Capital,2023-07-01,3.01%
São Paulo Capital,2023-08-01,-0.8%
São Paulo Capital,2023-09-01,-0.59%
São Paulo Capital,2023-11-01,0.68%
São Paulo Capital,2023-12-01,n/a
São Paulo Capital,2024-01-01,-0.03%
São Paulo Capital,2024-02-01,4.36%
São Paulo Capital,2024-03-01,-1.22%
São Paulo Capital,2024-04-01,0.24%
São Paulo Capital,2024-06-01,2.03%
São Paulo Capital,2024-07-01,1.72%
São Paulo Capital,2024-08-01,0.71%
São Paulo Capital,2024-09-01,-0.92%
São Paulo Capital,2024-10-01,1.45%
São Paulo Capital,2024-11-01,n/a
Müller Global,2018-01-01,2.76%
Müller Global,2018-02-01,0.25%
Müller Global,2018-03-01,2.08%
Müller Global,2018-05-01,-0.86%
Müller Global,2018-06-01,n/a
Müller Global,2018-07-01,0.73%
Müller Global,2018-08-01,-2.02%
Müller Global,2018-09-01,2.59%
Müller Global,2018-10-01,-0.17%
Müller Global,2018-12-01,0.75%
Müller Global,2019-01-01,1.5%
Müller Global,2019-02-01,-1.6%
Müller Global,2019-03-01,-0.08%
Müller Global,2019-04-01,-1.35%
Müller Global,2019-05-01,n/a
Müller Global,2019-07-01,0.99%
Müller Global,2019-08-01,0.6%
Müller Global,2019-09-01,1.14%
Müller Global,2019-10-01,2.4%
Müller Global,2019-11-01,0.84%
Müller Global,2019-12-01,-0.03%
Müller Global,2020-02-01,-0.89%
Müller Global,2020-03-01,0.53%
Müller Global,2020-04-01,n/a
Müller Global,2020-05-01,-1.61%
Müller Global,2020-06-01,1.28%
Müller Global,2020-07-01,-2.86%
Müller Global,2020-09-01,0.17%
Müller Global,2020-10-01,-0.33%
Müller Global,2020-11-01,0.21%
Müller Global,2020-12-01,1.59%
Müller Global,2021-01-01,-2.25%
Müller Global,2021-02-01,0.66%
Müller Global,2021-04-01,-0.3%
Müller Global,2021-05-01,1.52%
Müller Global,2021-06-01,0.71%
Müller Global,2021-07-01,1.91%
Müller Global,2021-08-01,0.54%
Müller Global,2021-09-01,-0.89%
Müller Global,2021-11-01,1.07%
Müller Global,2021-12-01,-0.18%
Müller Global,2022-01-01,-0.08%
Müller Global,2022-02-01,n/a
Müller Global,2022-03-01,2.16%
Müller Global,2022-04-01,0.22%
Müller Global,2022-06-01,3.36%
Müller Global,2022-07-01,-1.35%
Müller Global,2022-08-01,-0.07%
Müller Global,2022-09-01,1.05%
Müller Global,2022-10-01,0.85%
Müller Global,2022-11-01,1.33%
Müller Global,2023-01-01,n/a
Müller Global,2023-02-01,-0.37%
Müller Global,2023-03-01,-1.16%
Müller Global,2023-04-01,2.64%
Müller Global,2023-05-01,1.46%
Müller Global,2023-06-01,0.94%
Müller Global,2023-08-01,0.1%
Müller Global,2023-09-01,-1.7%
Müller Global,2023-10-01,3.31%
Müller Global,2023-11-01,0.26%
Müller Global,2023-12-01,n/a
Müller Global,2024-01-01,-1.36%
Müller Global,2024-03-01,-1.8%
Müller Global,2024-04-01,-0.45%
Müller Global,2024-05-01,-0.52%
Müller Global,2024-06-01,-2.02%
Müller Global,2024-07-01,0.61%
Müller Global,2024-08-01,3%
Müller Global,2024-10-01,0.49%
Müller Global,2024-11-01,n/a
Müller Global,2024-12-01,2.6%
Ardent Investments,2015-01-01,0.85%
Ardent Investments,2015-02-01,1.31%
Ardent Investments,2015-03-01,-0.37%
Ardent Investments,2015-05-01,-1%
Ardent Investments,2015-06-01,n/a
Ardent Investments,2015-07-01,-0.86%
Ardent Investments,2015-08-01,-0.17%
Ardent Investments,2015-09-01,-1.9%
Ardent Investments,2015-10-01,0.64%
Ardent Investments,2015-12-01,-4%
Ardent Investments,2016-01-01,-0.7%
Ardent Investments,2016-02-01,2.27%
Ardent Investments,2016-03-01,2.36%
Ardent Investments,2016-04-01,-0.34%
Ardent Investments,2016-05-01,n/a
Ardent Investments,2016-07-01,-0.18%
Ardent Investments,2016-08-01,0.66%
Ardent Investments,2016-09-01,1.66%
Ardent Investments,2016-10-01,-1.09%
Ardent Investments,2016-11-01,-0.07%
Ardent Investments,2016-12-01,0.81%
Ardent Investments,2017-02-01,1.1%
Ardent Investments,2017-03-01,1.86%
Ardent Investments,2017-04-01,n/a
Ardent Investments,2017-05-01,2.15%
Ardent Investments,2017-06-01,1.05%
Ardent Investments,2017-07-01,1.54%
Ardent Investments,2017-09-01,2.88%
Ardent Investments,2017-10-01,-0.86%
Ardent Investments,2017-11-01,1.16%
Ardent Investments,2017-12-01,-0.57%
Ardent Investments,2018-01-01,4.2%
Ardent Investments,2018-02-01,1.15%
Ardent Investments,2018-04-01,0.44%
Ardent Investments,2018-05-01,-1.85%
Ardent Investments,2018-06-01,0.83%
Ardent Investments,2018-07-01,2.58%
Ardent Investments,2018-08-01,0.24%
Ardent Investments,2018-09-01,1.26%
Ardent Investments,2018-11-01,-3.02%
Ardent Investments,2018-12-01,-1.19%
Ardent Investments,2019-01-01,-0.75%
Ardent Investments,2019-02-01,n/a
Ardent Investments,2019-03-01,1.02%
Ardent Investments,2019-04-01,-0.71%
Ardent Investments,2019-06-01,2.41%
Ardent Investments,2019-07-01,-0.77%
Ardent Investments,2019-08-01,-0.43%
Ardent Investments,2019-09-01,-0.78%
Ardent Investments,2019-10-01,0.93%
Ardent Investments,2019-11-01,1.78%
Ardent Investments,2020-01-01,n/a
Ardent Investments,2020-02-01,0.66%
Ardent Investments,2020-03-01,1.93%
Ardent Investments,2020-04-01,-0.22%
Ardent Investments,2020-05-01,0.95%
Ardent Investments,2020-06-01,-0.8%
Ardent Investments,2020-08-01,1.21%
Ardent Investments,2020-09-01,1.79%
Ardent Investments,2020-10-01,1.53%
Ardent Investments,2020-11-01,0.17%
Ardent Investments,2020-12-01,n/a
Ardent Investments,2021-01-01,1.57%
Ardent Investments,2021-03-01,-0.2%
Ardent Investments,2021-04-01,1.11%
Ardent Investments,2021-05-01,-2%
Ardent Investments,2021-06-01,1.42%
Ardent Investments,2021-07-01,0.86%
Ardent Investments,2021-08-01,2.36%
Ardent Investments,2021-10-01,3.99%
Ardent Investments,2021-11-01,n/a
Ardent Investments,2021-12-01,1.59%
Ardent Investments,2022-01-01,1.22%
Ardent Investments,2022-02-01,-1.14%
Ardent Investments,2022-03-01,-0.59%
Ardent Investments,2022-05-01,-1.02%
Ardent Investments,2022-06-01,2.28%
Ardent Investments,2022-07-01,0.07%
Ardent Investments,2022-08-01,-1%
Ardent Investments,2022-09-01,-1.06%
Ardent Investments,2022-10-01,n/a
Ardent Investments,2022-12-01,2.73%
Ardent Investments,2023-01-01,-0.62%
Ardent Investments,2023-02-01,2.34%
Ardent Investments,2023-03-01,4.11%
Ardent Investments,2023-04-01,0.52%
Ardent Investments,2023-05-01,0.11%
Ardent Investments,2023-07-01,-2.11%
Ardent Investments,2023-08-01,1.23%
Ardent Investments,2023-09-01,n/a
Ardent Investments,2023-10-01,0.48%
Ardent Investments,2023-11-01,4.12%
Ardent Investments,2023-12-01,1.93%
Ardent Investments,2024-02-01,-2.22%
Ardent Investments,2024-03-01,3.03%
Ardent Investments,2024-04-01,1.04%
Ardent Investments,2024-05-01,-0.84%
Ardent Investments,2024-06-01,-1.29%
Ardent Investments,2024-07-01,-2.27%
Ardent Investments,2024-09-01,2.8%
Ardent Investments,2024-10-01,-0.38%
Ardent Investments,2024-11-01,2.69%
Ardent Investments,2024-12-01,1.34%
Northgate Associates,2024-07-01,0.04%
Northgate Associates,2024-08-01,1.05%
Northgate Associates,2024-09-01,-2.21%
Northgate Associates,2024-11-01,4.68%
Northgate Associates,2024-12-01,n/a
Drawbridge Credit Opportunities,2024-07-01,-0.65%
Drawbridge Credit Opportunities,2024-08-01,1.44%
Drawbridge Credit Opportunities,2024-09-01,-10.51%
Drawbridge Credit Opportunities,2024-11-01,-11.91%
Drawbridge Credit Opportunities,2024-12-01,n/a
Xenon Investments,2020-01-01,-0.56%
Xenon Investments,2020-02-01,1.11%
Xenon Investments,2020-03-01,1.89%
Xenon Investments,2020-05-01,2.1%
Xenon Investments,2020-06-01,n/a
Xenon Investments,2020-07-01,3.3%
Xenon Investments,2020-08-01,0.65%
Xenon Investments,2020-09-01,-5.59%
Xenon Investments,2020-10-01,0.9%
Xenon Investments,2020-12-01,1.19%
Xenon Investments,2021-01-01,3.09%
Xenon Investments,2021-02-01,2.17%
Xenon Investments,2021-03-01,2.76%
Xenon Investments,2021-04-01,3.3%
Xenon Investments,2021-05-01,n/a
Xenon Investments,2021-07-01,2.1%
Xenon Investments,2021-08-01,-1.33%
Xenon Investments,2021-09-01,-8.47%
Xenon Investments,2021-10-01,-10.4%
Xenon Investments,2021-11-01,-7.47%
Xenon Investments,2021-12-01,-13.94%
Xenon Investments,2022-02-01,0.45%
Xenon Investments,2022-03-01,2.68%
Xenon Investments,2022-04-01,n/a
Xenon Investments,2022-05-01,1.95%
Xenon Investments,2022-06-01,-1.82%
Xenon Investments,2022-07-01,-0.33%
Xenon Investments,2022-09-01,-2.11%
Xenon Investments,2022-10-01,0.42%
Xenon Investments,2022-11-01,-1.82%
Xenon Investments,2022-12-01,5.26%
Xenon Investments,2023-01-01,0.07%
Xenon Investments,2023-02-01,3.53%
Xenon Investments,2023-04-01,-3.32%
Xenon Investments,2023-05-01,-3.8%
Xenon Investments,2023-06-01,-0.4%
Xenon Investments,2023-07-01,2.73%
Xenon Investments,2023-08-01,-0.17%
Xenon Investments,2023-09-01,0.79%
Xenon Investments,2023-11-01,2.79%
Xenon Investments,2023-12-01,1.9%
Xenon Investments,2024-01-01,-1.82%
Xenon Investments,2024-02-01,n/a
Xenon Investments,2024-03-01,1.16%
Xenon Investments,2024-04-01,-2.08%
Xenon Investments,2024-06-01,4.62%
Xenon Investments,2024-07-01,-4.58%
Xenon Investments,2024-08-01,-0.72%
Xenon Investments,2024-09-01,1.21%
Xenon Investments,2024-10-01,0.03%
Xenon Investments,2024-11-01,1.09%
Pinnacle Associates,2022-01-01,-0.37%
Pinnacle Associates,2022-02-01,-0.41%
Pinnacle Associates,2022-03-01,0.11%
Pinnacle Associates,2022-05-01,0.19%
Pinnacle Associates,2022-06-01,n/a
Pinnacle Associates,2022-07-01,0.27%
Pinnacle Associates,2022-08-01,0.35%
Pinnacle Associates,2022-09-01,-0.41%
Pinnacle Associates,2022-10-01,-0.28%
Pinnacle Associates,2022-12-01,0.01%
